designation,BLS_period,BLS_period_SNR,BLS_duration,BLS_depth,BLS_transit_time,channel,quarter,ra,dec,main_id,main_type,other_types,angDist
Gaia EDR3 2051774184464360064,0.8164204005759061,194.8291501950389,0.099,0.0103074685204612,2455276.893508328,32,5,291.33557884990495,37.38855843469648,,,,
Gaia EDR3 2133602451140200192,0.9850358096326434,67.12462572394152,0.174,0.0235703107306681,2455277.216754299,36,5,286.14287678733206,50.03164963668372,,,,
Gaia EDR3 2130912843837194624,25.23513081517628,917.1972047032924,0.249,0.0322820304926977,2455293.013005713,40,5,288.67216936958613,47.63635847920136,KOI-7329,EB*,IR |EB*|*  |EB*,6.44373
Gaia EDR3 2130912843839236224,25.23513081517628,2292.969981916352,0.249,0.0335571774709344,2455293.013005713,40,5,288.67476583270684,47.63597987929453,KOI-7329,EB*,IR |EB*|*  |EB*,0.04691
Gaia EDR3 2101752588579265280,0.6328814810907748,725.4755169353,0.45,0.0019467516738131,2455276.7481615003,45,5,291.7191206742078,42.2263869829786,,,,
Gaia EDR3 2101752592882626560,0.6328814810907748,5026.410751523389,0.45,0.0027115199310269,2455276.7481615003,45,5,291.71506960525744,42.22686411365126,TYC 3142-841-1,Eruptive*,*  |IR |Er*,0.091265
Gaia EDR3 2101752932176893696,0.5523658353343253,2588.508104913549,0.051,0.0842208629101441,2455277.0286615,45,5,291.6898847194532,42.21807425505269,,,,
Gaia EDR3 2101752936479788544,0.5523658353343253,7114.184054549968,0.051,0.0941365220001848,2455276.7556615006,45,5,291.6903296615888,42.216780287361495,,,,
Gaia EDR3 2101753516292218624,0.5306874150815217,2158.7251902107664,0.45,0.0797808737986339,2455276.8171615005,45,5,291.700455420957,42.25831355664601,,,,
Gaia EDR3 2101753520591885568,0.5306874150815217,1791.8424805732952,0.45,0.0709487950072404,2455276.8171615005,45,5,291.69936847211994,42.25801587463548,,,,
Gaia EDR3 2101753619371695872,0.8856823979591837,599.3455531185637,0.099,0.0412200637396222,2455277.2056615003,45,5,291.6679919588049,42.25997159064366,,,,
Gaia EDR3 2053614114092990592,0.5320758532246135,85.11438888636881,0.399,0.0081000210865112,2455276.8515779674,48,5,292.4900035552066,41.31884446262027,,,,
Gaia EDR3 2053614118389135232,0.5320758532246135,72437.9399265459,0.099,0.1862732120774851,2455276.7255779672,48,5,292.4834608718052,41.31527304939099,KIC 6044543,EB*,EB*|IR |*  |EB*,4.297991
Gaia EDR3 2053614118393504512,0.5320758532246135,245.09801790136532,0.099,0.0012161960149682,2455276.7255779672,48,5,292.4870205960536,41.31106146687261,KOI-2646,RotV*,Ro*|*  |IR,0.129086
Gaia EDR3 2053614118393505152,0.5320758532246135,12670.1883938321,0.099,0.0771181651086488,2455276.7255779672,48,5,292.48594194195266,41.312796934379605,KOI-2646,RotV*,Ro*|*  |IR,6.800557
